target,feature,n_pieces_within_piece_tests,median_piece_spearman_rho,n_positive_pieces,n_negative_pieces,fisher_stat,fisher_p,global_spearman_rho,global_fdr_q,fisher_fdr_q
istc_mean_max_unique_per_sec,mir_roughness,10,0.06944146662033518,7,3,262.35143929906843,3.652902799119318e-44,0.1150370033186553,,1.2176342663731061e-43
max_tap_count_per_100ms_bin,spectral_bandwidth_hz_std,10,-0.04828224700002149,5,5,259.63720881713107,1.2933197673092305e-43,-0.177474352042727,,4.240392679702395e-43
max_unique_participants_per_100ms_bin,spectral_bandwidth_hz_std,10,-0.047671399561139555,5,5,258.582250790341,2.113503026919038e-43,-0.1767592890294016,,6.817751699738831e-43
optimizer_peak_to_grid_median_abs_error_ms,spectral_bandwidth_hz_mean,10,0.05442118579569155,6,4,254.33763583481385,1.5224732164772593e-42,0.0363006196910466,,4.8332483062770133e-42
optimizer_peak_to_grid_median_abs_error_ms,mir_roughness,10,0.0565182654879666,5,5,248.48674754275072,2.305965812660462e-41,-0.0411617261887666,,7.206143164563944e-41
optimizer_beat_density_per_s,spectral_rolloff_hz_mean,10,0.03586957231235069,6,4,237.58036931193053,3.607774444362936e-39,0.0584233020148479,,1.1100844444193648e-38
max_tap_count_per_100ms_bin,mtb_ioi_cv,10,0.18908345509202132,9,1,233.3881519651805,2.5038578440820174e-38,0.2023890252123517,,7.587448012369749e-38
max_tap_count_per_100ms_bin,cv_midi_ioi,10,0.1901386134422459,9,1,233.3077002765224,2.5986285821541075e-38,0.2017552577352813,,7.757100245236142e-38
max_unique_participants_per_100ms_bin,cv_midi_ioi,10,0.1909045781936754,9,1,231.19150084988507,6.902114270904711e-38,0.2007085272701953,,2.030033609089621e-37
max_unique_participants_per_100ms_bin,mtb_ioi_cv,10,0.18869151233393822,9,1,231.13067481686946,7.098577307605177e-38,0.2012704633875223,,2.057558639885559e-37
optimizer_beat_density_per_s,mir_centroid,10,0.14330071828074845,7,3,230.97404369171093,7.630588422485865e-38,0.0550824116667334,,2.1801681207102475e-37
istc_mean_max_unique_per_sec,cv_midi_ioi,10,0.19014985932350162,9,1,227.53746077153264,3.721806408469746e-37,0.2001630130027813,,1.0483961713999284e-36
istc_mean_max_unique_per_sec,mtb_ioi_cv,10,0.18787392479922138,9,1,227.44105198009444,3.890878890431258e-37,0.2007255401661672,,1.0807996917864606e-36
optimizer_beat_density_per_s,mir_brightness,10,0.0864153862997343,7,3,227.24857205326856,4.251732623602824e-37,0.0590332500405593,,1.1648582530418696e-36
istc_mean_max_unique_per_sec,spectral_centroid_hz_std,10,-0.09917274341413107,4,6,224.8761768095972,1.2679202360040663e-36,-0.164017220701106,,3.426811448659639e-36
max_tap_count_per_100ms_bin,spectral_centroid_hz_std,10,-0.10188893830681389,4,6,223.8792566558395,2.0061754999476858e-36,-0.1621185471242626,,5.349801333193829e-36
istc_mean_max_unique_per_sec,mir_brightness,10,0.014414071717974743,5,5,222.9548569469028,3.069599614446249e-36,-0.0722184603544555,,8.077893722226971e-36
max_unique_participants_per_100ms_bin,spectral_centroid_hz_std,10,-0.10188893830681389,4,6,221.45285085265527,6.124500666155094e-36,-0.1613998094005934,,1.590779393806518e-35
max_unique_participants_per_100ms_bin,mir_brightness,10,0.019778256377440427,5,5,219.55232194295084,1.4669048178791344e-35,-0.0767156321026816,,3.7612944048182935e-35
max_tap_count_per_100ms_bin,mir_brightness,10,0.019778256377440427,5,5,219.32698858833058,1.6268886819313673e-35,-0.0781298893713254,,4.1187055238768796e-35
max_tap_count_per_100ms_bin,spectral_rolloff_hz_mean,10,-0.05821862409873675,4,6,214.48087937072026,1.5038524349860794e-34,-0.1295537187329262,,3.759631087465199e-34
istc_mean_max_unique_per_sec,spectral_rolloff_hz_mean,10,-0.060456934626326966,4,6,214.38550438042313,1.5710661846928714e-34,-0.1260428717845406,,3.8791757646737565e-34
max_unique_participants_per_100ms_bin,spectral_rolloff_hz_mean,10,-0.05821862409873675,4,6,213.75876306376782,2.093921695570314e-34,-0.1282907510568205,,5.107126086756863e-34
max_tap_count_per_100ms_bin,rms_std,10,-0.032489585684719824,4,6,201.4044695232211,5.934299008347976e-32,0.0719694245634382,,1.4299515682766206e-31
max_unique_participants_per_100ms_bin,rms_std,10,-0.032674243704192724,4,6,200.23916823919149,1.0091904054913173e-31,0.0708557913353279,,2.4028342987888506e-31
istc_mean_max_unique_per_sec,rms_std,10,-0.03571945693367674,4,6,192.83804938583853,2.920849727834641e-30,0.0718469155285625,,6.872587594905038e-30
optimizer_beat_density_per_s,spectral_centroid_hz_mean,10,0.08286705002708215,7,3,185.24511291306482,9.100632816559864e-29,0.0341589425433706,,2.1164262364092707e-28
istc_mean_max_unique_per_sec,onset_strength_std,10,0.01715811604952157,5,5,180.0416277476566,9.526812147910419e-28,0.051161579089854,,2.1900717581403262e-27
max_unique_participants_per_100ms_bin,onset_strength_std,10,0.008832226621749994,5,5,178.22821195345506,2.1559349538703322e-27,0.0432118181799238,,4.899852167887119e-27
max_tap_count_per_100ms_bin,onset_strength_std,10,0.008669800305852758,5,5,177.80607650227017,2.6070256278317243e-27,0.0425846759085334,,5.858484556925223e-27
optimizer_beat_density_per_s,mtb_duration_mean_s,10,0.010191839845512196,5,5,172.70150590264137,2.5831130691754682e-26,0.0355038358539522,,5.740251264834374e-26
optimizer_beat_density_per_s,mean_note_duration_s,10,0.010191832452376419,5,5,172.2303079269153,3.1909374044692614e-26,0.0354258222308959,,7.013049240591783e-26
optimizer_peak_to_grid_median_abs_error_ms,mtb_duration_std_s,10,-0.1213905478932002,3,7,170.81311640981042,6.022423308049996e-26,0.0341957974019062,,1.3092224582717384e-25
max_unique_participants_per_100ms_bin,spectral_rolloff_hz_std,10,-0.10686965246422861,3,7,168.31317891388557,1.843898405172955e-25,-0.1381988781779059,,3.965372914350441e-25
max_tap_count_per_100ms_bin,mtb_ioi_std_s,10,0.12982301095510018,6,4,167.4256231899051,2.742012259327187e-25,0.1374570493900459,,5.834068636866356e-25
