stim_name,window_start_s,window_end_s,window_center_s,istc_mean_max_unique_per_sec,tap_count_mean_max_per_sec,max_unique_participants_per_100ms_bin,max_tap_count_per_100ms_bin,n_participants,wtc_code,manifest_wtc_code,beta_list,beta_perf,beta_score
track5,45.5,46.5,46.0,7.0,7.0,7,7,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,45.75,46.75,46.25,7.0,7.0,7,7,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,46.0,47.0,46.5,7.0,7.0,7,7,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,46.25,47.25,46.75,7.0,7.0,7,7,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,46.5,47.5,47.0,7.0,7.0,7,7,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,46.75,47.75,47.25,8.0,8.0,8,8,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,47.0,48.0,47.5,8.0,8.0,8,8,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,47.25,48.25,47.75,8.0,8.0,8,8,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,47.5,48.5,48.0,8.0,8.0,8,8,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,47.75,48.75,48.25,6.0,6.0,6,6,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,48.0,49.0,48.5,8.0,8.0,8,8,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,48.25,49.25,48.75,8.0,8.0,8,8,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,48.5,49.5,49.0,8.0,8.0,8,8,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,48.75,49.75,49.25,8.0,8.0,8,8,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,49.0,50.0,49.5,8.0,8.0,8,8,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,49.25,50.25,49.75,8.0,8.0,8,8,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,49.5,50.5,50.0,8.0,8.0,8,8,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,49.75,50.75,50.25,8.0,8.0,8,8,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,50.0,51.0,50.5,3.0,3.0,3,3,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,50.25,51.25,50.75,3.0,3.0,3,3,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,50.5,51.5,51.0,3.0,3.0,3,3,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,50.75,51.75,51.25,3.0,3.0,4,4,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,51.0,52.0,51.5,4.0,4.0,4,4,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,51.25,52.25,51.75,4.0,4.0,5,5,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,51.5,52.5,52.0,6.0,6.0,6,6,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,51.75,52.75,52.25,6.0,6.0,6,6,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,52.0,53.0,52.5,6.0,6.0,6,6,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,52.25,53.25,52.75,6.0,6.0,6,6,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,52.5,53.5,53.0,6.0,6.0,6,6,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,52.75,53.75,53.25,6.0,6.0,6,6,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,53.0,54.0,53.5,6.0,6.0,6,6,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,53.25,54.25,53.75,6.0,6.0,6,6,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,53.5,54.5,54.0,5.0,5.0,5,5,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,53.75,54.75,54.25,5.0,5.0,5,5,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,54.0,55.0,54.5,5.0,5.0,5,5,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
