stim_name,wtc_code,peak_index,filtered_kde_peak_s
track17,wtc2f07,2,0.8
track17,wtc2f07,3,1.715
track17,wtc2f07,4,2.45
track17,wtc2f07,5,3.275
track17,wtc2f07,6,4.105
track17,wtc2f07,7,4.83
track17,wtc2f07,8,5.285
track17,wtc2f07,9,6.15
track17,wtc2f07,10,6.6850000000000005
track17,wtc2f07,11,7.425
track17,wtc2f07,12,8.21
track17,wtc2f07,13,8.790000000000001
track17,wtc2f07,14,9.22
track17,wtc2f07,15,9.665000000000001
track17,wtc2f07,16,10.48
track17,wtc2f07,17,11.375
track17,wtc2f07,18,12.16
track17,wtc2f07,19,12.525
track17,wtc2f07,20,12.935
track17,wtc2f07,21,13.88
track17,wtc2f07,22,14.355
track17,wtc2f07,23,14.81
track17,wtc2f07,24,15.200000000000001
track17,wtc2f07,25,15.58
track17,wtc2f07,26,16.0
track17,wtc2f07,27,16.45
track17,wtc2f07,28,16.895
track17,wtc2f07,29,17.240000000000002
track17,wtc2f07,30,17.63
track17,wtc2f07,31,18.055
track17,wtc2f07,32,18.45
track17,wtc2f07,33,18.785
track17,wtc2f07,34,19.165
track17,wtc2f07,35,19.56
track17,wtc2f07,36,19.935
track17,wtc2f07,37,20.355
track17,wtc2f07,38,21.14
track17,wtc2f07,39,21.565
track17,wtc2f07,40,21.945
track17,wtc2f07,41,22.31
track17,wtc2f07,42,22.75
track17,wtc2f07,43,23.105
track17,wtc2f07,44,23.465
track17,wtc2f07,45,23.955000000000002
track17,wtc2f07,46,24.36
track17,wtc2f07,47,24.810000000000002
track17,wtc2f07,48,25.145
track17,wtc2f07,49,25.51
track17,wtc2f07,50,25.895
track17,wtc2f07,51,26.255
track17,wtc2f07,52,26.595
track17,wtc2f07,53,27.400000000000002
track17,wtc2f07,54,27.8
track17,wtc2f07,55,28.145
track17,wtc2f07,56,28.54
track17,wtc2f07,57,28.94
track17,wtc2f07,58,29.330000000000002
track17,wtc2f07,59,29.675
track18,wtc2p01,1,0.96
track18,wtc2p01,2,2.69
track18,wtc2p01,3,2.95
track18,wtc2p01,4,3.6350000000000002
track18,wtc2p01,5,4.36
track18,wtc2p01,6,4.605
track18,wtc2p01,7,5.465
track18,wtc2p01,8,6.01
track18,wtc2p01,9,6.5200000000000005
track18,wtc2p01,10,6.95
track18,wtc2p01,11,7.455
track18,wtc2p01,12,7.91
track18,wtc2p01,13,8.425
track18,wtc2p01,14,8.925
track18,wtc2p01,15,9.450000000000001
track18,wtc2p01,16,9.71
track18,wtc2p01,17,9.96
track18,wtc2p01,18,10.47
track18,wtc2p01,19,10.815
track18,wtc2p01,20,11.115
track18,wtc2p01,21,12.155000000000001
track18,wtc2p01,22,12.450000000000001
track18,wtc2p01,23,13.085
track18,wtc2p01,24,13.605
track18,wtc2p01,25,14.145
track18,wtc2p01,26,14.66
track18,wtc2p01,27,15.18
track18,wtc2p01,28,15.755
track18,wtc2p01,29,16.245
track18,wtc2p01,30,16.8
track18,wtc2p01,31,17.275000000000002
track18,wtc2p01,32,17.79
track18,wtc2p01,33,18.325
track18,wtc2p01,34,18.830000000000002
track18,wtc2p01,35,19.345
track18,wtc2p01,36,19.91
track18,wtc2p01,37,20.405
track18,wtc2p01,38,20.92
track18,wtc2p01,39,21.44
track18,wtc2p01,40,21.995
track18,wtc2p01,41,22.495
track18,wtc2p01,42,23.03
track18,wtc2p01,43,23.53
track18,wtc2p01,44,24.05
track18,wtc2p01,45,24.53
track18,wtc2p01,46,25.04
track18,wtc2p01,47,25.560000000000002
track18,wtc2p01,48,26.085
track18,wtc2p01,49,26.615000000000002
track18,wtc2p01,50,27.12
track18,wtc2p01,51,27.67
track18,wtc2p01,52,28.225
track18,wtc2p01,53,28.72
track18,wtc2p01,54,29.235
track18,wtc2p01,55,29.745
track19,wtc1p03,1,1.205
track19,wtc1p03,2,2.995
track19,wtc1p03,3,3.485
track19,wtc1p03,4,3.9
track19,wtc1p03,5,4.285
track19,wtc1p03,6,5.085
track19,wtc1p03,7,5.66
track19,wtc1p03,8,6.32
track19,wtc1p03,9,6.88
track19,wtc1p03,10,7.525
track19,wtc1p03,11,8.045
track19,wtc1p03,12,8.775
track19,wtc1p03,13,9.43
track19,wtc1p03,14,10.055
track19,wtc1p03,15,10.665000000000001
track19,wtc1p03,16,11.34
track19,wtc1p03,17,12.0
track19,wtc1p03,18,12.635
track19,wtc1p03,19,13.415000000000001
track19,wtc1p03,20,13.870000000000001
track19,wtc1p03,21,14.525
track19,wtc1p03,22,15.14
track19,wtc1p03,23,15.945
track19,wtc1p03,24,16.38
track19,wtc1p03,25,17.16
track19,wtc1p03,26,17.59
track19,wtc1p03,27,18.1
track19,wtc1p03,28,18.795
track19,wtc1p03,29,19.485
track19,wtc1p03,30,19.78
track19,wtc1p03,31,20.16
track19,wtc1p03,32,20.605
track19,wtc1p03,33,20.86
track19,wtc1p03,34,21.485
track19,wtc1p03,35,22.145
track19,wtc1p03,36,22.775000000000002
track19,wtc1p03,37,23.45
track19,wtc1p03,38,24.1
track19,wtc1p03,39,24.775000000000002
track19,wtc1p03,40,25.41
track19,wtc1p03,41,26.080000000000002
track19,wtc1p03,42,26.72
track19,wtc1p03,43,27.38
track19,wtc1p03,44,28.04
track19,wtc1p03,45,28.7
track19,wtc1p03,46,29.355
track2,wtc1p15,1,1.0
track2,wtc1p15,2,2.035
track2,wtc1p15,3,2.87
