participant_id,trial_id,stim_name,wtc_code,emotion_term,trial_mean_rating,trial_sd_rating,trial_min_rating,trial_max_rating,trial_final_rating,n_samples,completed_audio,audio_duration_s,response_duration_s,missed_sample_count,familiarity,enjoyment,playback_difficulty,trial_order,istc_mean_max_unique_per_sec,mean_tap_count_per_100ms_bin,mean_unique_participants_per_100ms_bin,tapping_study_n_participants,duration_s,simple_lowenergy_Mean,simple_brightness_Mean,simple_roughness_Mean,simple_centroid_Mean,rhythm_tempo_Mean,dynamics_rms_Mean,notedensity_per_s,pitch_mean,pitch_std,ioi_mean_s,ioi_cv,beta_perf,beta_score
24,262,track8,wtc1f03,happy,2.6266924564796907,0.6240522179574063,1.0,3.0,3.0,517,True,130.94259999999403,134.22930000001193,0.0,,,,12.0,6.846153846153846,1.9388379204892967,1.938073394495413,11,128.962416666667,0.549932131083964,0.111241589134918,374.694132862244,857.223524817269,120.307988103436,0.923512351659645,11.4582677821653,63.337752965806,10.1044312270494,0.0872732265479512,0.847894678197135,-0.6684,-0.6974
26,261,track1,wtc1p15,energetic,4.507246376811594,1.1054567444097851,1.0,5.0,1.0,207,True,52.708,55.40710000002384,0.0,,,,1.0,5.622641509433962,2.5419776119402986,2.541044776119403,11,51.6315,0.539728682170543,0.193816587729097,169.656858023745,1125.76869675832,148.514903024648,0.871966536041874,12.5624541477597,62.6384742951907,10.2690700485348,0.0796022805924695,0.652187943634647,-0.2186,-0.2511
26,263,track16,wtc1f05,energetic,2.6879432624113475,0.6472847235652138,1.0,4.0,1.0,423,True,106.50660000002384,111.55410000002384,0.0,,,,2.0,6.81651376146789,2.118131868131868,2.1103479853479854,11,105.271166666667,0.544072226181991,0.111799507208478,504.653097763932,878.386275093072,110.896623975831,0.900910935379022,7.68802487132191,62.7824967824968,10.8367836007549,0.130072419995704,1.46700412219252,-0.5387,-0.6812
26,266,track23,wtc1p03,energetic,3.8088737201365186,0.7150460477739463,1.0,4.0,1.0,293,True,73.96809999990464,74.66909999990463,0.0,,,,3.0,6.108108108108108,2.5023348899266176,2.4903268845897264,11,72.9797916666667,0.547292666209733,0.0987102797719146,362.7451839569,862.159367787307,128.465824056335,0.918447017505214,11.6573229764719,65.8382716049383,10.0228301555316,0.0857829882571076,0.574507290487869,-1.1204,-1.2469
26,268,track22,wtc2f07,energetic,2.5346260387811634,0.7106670859036355,1.0,3.0,1.0,361,True,92.02940000009536,93.164,0.0,,,,4.0,6.870967741935484,1.4614147909967845,1.4614147909967845,11,89.9877708333333,0.563368538076709,0.12709248841586,564.293426211306,909.259629248626,129.13666805186,0.887622808979865,8.18259525325088,62.6107954545455,8.89078333921394,0.122210615220484,1.14938215047034,-0.8852,-0.9718
26,272,track12,wtc1p04,energetic,2.0224,0.441599656261479,1.0,3.0,1.0,625,True,156.84480000007153,163.647,0.0,,,,5.0,5.286624203821656,1.4163498098859315,1.414765525982256,12,155.84425,0.538350449293967,0.116633622922048,438.496115251889,880.484397662339,127.925555008647,0.91623045702365,4.3486177417564,63.6295180722892,10.4606467479691,0.229958129084968,0.786149747869222,-0.3545,-0.5101
26,275,track2,wtc1p15,energetic,4.522842639593908,1.263997562243006,1.0,5.0,1.0,197,True,49.76389999997616,50.8895,0.0,,,,6.0,6.607843137254902,3.314868804664723,3.312925170068027,12,48.7654375,0.556695741405849,0.251281672351986,137.816062714424,1309.78816901381,130.667587735916,0.855857702101979,13.5333133045227,62.6824877250409,10.2733462726195,0.0738917349726775,0.681576107266024,-0.3972,-0.2511
26,276,track19,wtc1p03,energetic,3.8827838827838828,0.5760191870562364,1.0,4.0,1.0,273,True,69.23769999992848,72.49669999992848,0.0,,,,7.0,6.9714285714285715,2.9454674220963173,2.941926345609065,12,68.1815625,0.553925165077036,0.122679996061697,461.759009347913,887.440483634278,129.443266731726,0.932958323829663,12.2710491842324,65.8461538461538,10.0457910024917,0.0814926242236027,0.566771877395218,-1.3369,-1.2469
26,281,track6,wtc1p04,energetic,1.965742251223491,0.6546472722803277,1.0,3.0,1.0,613,True,153.91589999997615,154.43689999997616,0.0,,,,8.0,4.664516129032258,1.4522661523625844,1.4522661523625844,12,152.922729166667,0.556500408830744,0.116038633746626,305.188064356151,879.321048703528,111.62025477803,0.873671516520163,4.8276198779425,63.7742382271468,10.2231822193168,0.207141412390197,0.901583368698466,-0.2648,-0.5101
26,284,track13,wtc1p15,energetic,3.746268656716418,0.8368383998495089,1.0,4.0,1.0,201,True,51.074199999928474,52.10739999997616,0.0,,,,9.0,5.882352941176471,2.2873900293255134,2.2844574780058653,11,50.0420833333333,0.5325,0.119025455393373,781.363377409782,879.97867213876,153.967382126685,0.909304177795278,13.0264532434709,62.6595041322314,10.2975482399311,0.0767668667218545,0.565420911658314,-0.417,-0.2511
26,286,track20,wtc2p24,energetic,2.8409961685823757,0.48746805986677993,1.0,3.0,1.0,522,True,131.46610000002383,134.51130000007151,0.0,,,,10.0,8.092307692307692,2.5017182130584192,2.4990454371897672,12,130.401520833333,0.543624161073825,0.10723986271948,514.276701417101,842.748080238012,117.337631892261,0.924875317629147,6.90321122593636,62.4235159817352,9.00830572754317,0.144860119047619,0.879273275163003,-0.44,-0.3163
26,291,track3,wtc2f06,energetic,2.5145228215767634,0.5951961891982316,1.0,3.0,1.0,482,True,122.05589999997616,122.67339999997616,0.0,,,,11.0,8.14516129032258,3.008814102564102,2.983173076923077,12,120.055354166667,0.565090606123724,0.133373697745795,515.822375848789,910.200368991156,121.728712722755,0.870161955501223,6.90616351294095,61.811013767209,10.1831882116528,0.144798193400167,0.894308003000556,-1.0934,-0.9258
26,297,track8,wtc1f03,energetic,2.783365570599613,0.4896940666271523,1.0,3.0,1.0,517,True,130.94590000009538,131.96240000009536,0.0,,,,12.0,6.846153846153846,1.9388379204892967,1.938073394495413,11,128.962416666667,0.549932131083964,0.111241589134918,374.694132862244,857.223524817269,120.307988103436,0.923512351659645,11.4582677821653,63.337752965806,10.1044312270494,0.0872732265479512,0.847894678197135,-0.6684,-0.6974
