trial_row,stim_name,alignment_offset_s,usable,n_taps,mean_ioi_s,perceived_tempo_bpm,sd_ioi_s,trial_cv_ioi_pct,median_ioi_s,first_tap_s,last_tap_s,wtc_code,manifest_wtc_code,beta_list,beta_perf,beta_score
138,track14,0.988395833333333,True,211,0.3338474025974027,179.72283005105757,0.1764821319069498,52.86311366626843,0.2515909090909094,1.584785984848485,71.69274053030304,wtc1p17,wtc1p17,1,-0.9336,-0.9849
139,track17,1.99295833333333,True,292,0.3939432989690721,152.30618253189402,0.2132562951192553,54.13375368418127,0.3743181818181966,0.7990871212121244,115.43658712121211,wtc2f07,wtc2f07,2,-0.7004,-0.9718
140,track9,1.972,True,456,0.3292642357642357,182.2244674121304,0.0989205390752486,30.04290424851336,0.3231818181818191,0.4620909090909091,150.27731818181817,wtc1f03,wtc1p03,3,-0.6237,-0.6974
141,track24,1.09241666666667,True,255,0.2984914101646385,201.01080954693427,0.1010856777845886,33.865523208467856,0.2740909090909085,1.1453106060606024,76.9621287878788,wtc1p17,wtc1p17,1,-1.0328,-0.9849
142,track2,0.9949583333333328,True,149,0.3326351351351351,180.37781840341253,0.115373466355122,34.68469027129406,0.3047727272727316,1.3307234848484857,50.56072348484849,wtc1p15,wtc1p15,3,-0.3972,-0.2511
143,track11,1.08329166666667,True,146,0.3400673981191223,176.43561344561053,0.0830226609275233,24.41359018439083,0.3252272727272718,1.5594356060606025,50.86920833333333,wtc1p15,wtc1p15,3,-0.2187,-0.2511
144,track1,1.06510416666667,True,150,0.3491687004270897,171.8367079483651,0.3734764802072778,106.96161475826894,0.3313636363636369,1.1337594696969666,53.15989583333333,wtc1p15,wtc1p15,2,-0.2186,-0.2511
145,track20,1.0476875,True,495,0.2645882407066617,226.7674475621143,0.104876638865155,39.637679507241415,0.2331818181818192,1.2145852272727276,131.92117613636364,wtc2p24,wtc2p24,1,-0.44,-0.3163
146,track18,0.9896041666666668,True,470,0.3055272339600697,196.38183877199495,0.1157109778081589,37.87255764678627,0.2638636363636308,2.6922140151515155,145.98448674242422,wtc2p01,wtc2p01,1,-0.2781,-0.1693
147,track19,1.03791666666667,True,99,0.6379104823747681,94.05708427401323,0.0804243827664356,12.607471579246884,0.6320454545454588,3.9120833333333302,66.4273106060606,wtc1p03,wtc1p03,2,-1.3369,-1.2469
148,track4,1.97366666666667,True,108,1.0253653355989805,58.51572889866637,0.1787693556864825,17.434698587899117,1.032954545454544,3.706560606060603,113.4206515151515,wtc2f06,wtc2f06,1,-0.9994,-0.9258
