wtc_code,window_center_s,rms_mean,spectral_centroid_hz_mean,spectral_bandwidth_hz_mean,spectral_rolloff_hz_mean,zero_crossing_rate_mean,onset_strength_mean,n_note_onsets,istc_mean_max_unique_per_sec
wtc1p15,13.75,0.05106342985354785,1103.6325015382426,1818.2646822982401,1694.25,0.025329495728276724,0.001958767338449282,11.5,7.0
wtc1p15,14.0,0.04405669330498784,1084.079713702675,1882.419960166985,1633.75,0.02515628255886643,0.0015157696191482343,12.5,7.25
wtc1p15,14.25,0.03845285883642169,1100.7344413037854,1942.2124980783162,1669.875,0.025425869972911023,0.0018383528748738857,12.25,6.75
wtc1p15,14.5,0.03684643709524896,1093.5508413255218,1952.2621275765982,1672.8125,0.025627734944780163,0.0018798768636079926,12.75,6.75
wtc1p15,14.75,0.035885494346174676,1081.103418092927,1920.1074319050251,1669.9375,0.026048395499062304,0.0017291548715775745,12.25,6.75
wtc1p15,15.0,0.03406174902762672,1076.83384979659,1927.7540967492394,1654.8125,0.025653782037924566,0.0015757623830731063,12.0,6.5
wtc1p15,15.25,0.03137926934978205,1048.5887722474195,1940.2683014913305,1581.5,0.02463794540529277,0.0010641946109862868,11.5,7.0
wtc1p15,15.5,0.028243965931817917,1042.8902625614037,1954.9006774765462,1536.5,0.02447775578245468,0.0009834341611541075,11.75,6.75
wtc1p15,15.75,0.027498925845976886,1084.6590108478783,2034.2184695299295,1634.0,0.023861742029589496,0.0009922369679445213,12.0,7.0
wtc1p15,16.0,0.027780754622705434,1100.5220193984164,2047.802031532582,1678.5625,0.024360543863304857,0.0011078478274545336,11.75,7.0
wtc1p15,16.25,0.028947750291522155,1102.306982772221,2012.8910136267514,1696.5,0.024773390289643676,0.0012285396180181083,13.0,6.5
wtc1p15,16.5,0.03363116321562089,1117.0094547977842,1973.678352150994,1728.25,0.02561340904355074,0.0016384856597762747,12.5,6.5
wtc1p15,16.75,0.03738231090253711,1084.2168253869563,1847.020783911802,1649.25,0.026341425296936862,0.0017456118709659769,12.25,6.25
wtc1p15,17.0,0.04084549183632519,1080.6483158686578,1773.5822578938614,1660.1875,0.026211189831214836,0.0017046819981484922,12.5,6.5
wtc1p15,17.25,0.0423369045072441,1081.0003655460637,1739.9371603125664,1683.3125,0.02644300896020004,0.0016456154922487832,11.75,6.75
wtc1p15,17.5,0.040502404436850034,1058.4142945848012,1717.9186629604537,1673.8125,0.02571629506147114,0.0017255415217590359,12.25,7.0
wtc1p15,17.75,0.041913771726771305,1053.992154348454,1698.5782623039718,1655.625,0.02587518232965201,0.0018847870312853417,13.0,7.0
wtc1p15,18.0,0.04406286607417066,1059.3823507035913,1687.1959592710875,1643.125,0.02632709939570744,0.0020091752217447833,12.75,6.75
wtc1p15,18.25,0.04516085293436106,1093.6434978407606,1709.527238574356,1656.1875,0.02757215044801,0.0019366334460394056,12.75,6.0
wtc1p15,18.5,0.04503771575847695,1124.3649497975885,1743.272539365505,1681.875,0.029062044175869974,0.0016934274764051995,12.75,5.5
wtc1p15,18.75,0.0411749011684168,1137.0302137804158,1829.0400689257003,1672.375,0.029022973536153365,0.0014851308988639463,12.25,5.75
wtc1p15,19.0,0.03711992244008336,1138.1844714234733,1907.993080516056,1643.375,0.028572358824755156,0.00154181784609007,12.25,6.25
wtc1p15,19.25,0.03426710366581494,1117.796120952532,1952.7265230803016,1591.875,0.02791727443217337,0.0017163940814367753,12.5,6.25
wtc1p15,19.5,0.033040623836494414,1160.3869050892054,2075.076724627992,1645.1875,0.02677771410710565,0.0017024215934572805,12.25,6.0
wtc1p15,19.75,0.032953815639766924,1146.1504732843573,2069.9186675441097,1631.25,0.026373984163367364,0.0016960062295331261,12.0,6.5
wtc1p15,20.0,0.03088861676905834,1135.2081371016236,2096.8704807853464,1600.625,0.026302354657220254,0.0015358841989457648,11.5,7.0
